rebalance_date,ticker,target_weight,achieved_weight,shares,turnover,trade_notional,n_orders_rebalance
2015-01-30,AAL,0.05,0.05000000000019008,268.1803449875614,0.9977052778609173,249426.31946522935,20
2015-01-30,ALK,0.05,0.0500000000008696,200.97927672430805,0.9977052778609173,249426.31946522935,20
2015-01-30,AVGO,0.05,0.050000000000054556,1582.5531615844502,0.9977052778609173,249426.31946522935,20
2015-01-30,AXON,0.05,0.05000000000016083,461.72957673528697,0.9977052778609173,249426.31946522935,20
2015-01-30,BBWI,0.05,0.05000000000076171,270.2023959204236,0.9977052778609173,249426.31946522935,20
2015-01-30,CNC,0.05,0.05000000000070369,456.992141995171,0.9977052778609173,249426.31946522935,20
2015-01-30,DAL,0.05,0.05000000000069563,301.01298466642646,0.9977052778609173,249426.31946522935,20
2015-01-30,DXCM,0.05,0.04999999999999783,834.4808449598061,0.9977052778609173,249426.31946522935,20
2015-01-30,EA,0.05,0.05000000000023065,233.80779734700232,0.9977052778609173,249426.31946522935,20
2015-01-30,ENPH,0.05,0.05000000000036454,1006.5630046631511,0.9977052778609173,249426.31946522935,20
2015-01-30,EW,0.05,0.050000000000360395,596.9523087222377,0.9977052778609173,249426.31946522935,20
2015-01-30,KR,0.05,0.049999999999794056,446.6906845771927,0.9977052778609173,249426.31946522935,20
2015-01-30,LOW,0.05,0.05000000000045198,224.76384150540315,0.9977052778609173,249426.31946522935,20
2015-01-30,LUV,0.05,0.04999999999990165,312.57290474030106,0.9977052778609173,249426.31946522935,20
2015-01-30,MNST,0.05,0.05000000000026271,639.8287806469759,0.9977052778609173,249426.31946522935,20
2015-01-30,PANW,0.05,0.050000000000365884,592.0403136907912,0.9977052778609173,249426.31946522935,20
2015-01-30,RCL,0.05,0.049999999999778326,188.39704385984788,0.9977052778609173,249426.31946522935,20
2015-01-30,REGN,0.05,0.0499999999956033,30.09764327059354,0.9977052778609173,249426.31946522935,20
2015-01-30,SWKS,0.05,0.049999999999445426,186.67636081085394,0.9977052778609173,249426.31946522935,20
2015-01-30,UAL,0.05,0.050000000000004485,179.77966670726562,0.9977052778609173,249426.31946522935,20
2015-07-31,AVGO,0.05,0.05911315602587842,1582.5531615844502,0.9554045587609404,262777.9396023173,27
2015-07-31,AXON,0.05,0.04869418241437562,461.72957673528697,0.9554045587609404,262777.9396023173,27
