date,ticker,event,open_px,close_px,open_close_ratio,ratio_low,ratio_high,notional,min_notional
2015-07-31,EW,open_close_ratio_anomaly_exit_alert,4.286657810211182,25.359973907470703,0.16903242195167995,0.25,4.0,,
2015-07-31,EW,skip_exit_open_close_anomaly,4.286657810211182,25.359973907470703,0.16903242195167995,0.25,4.0,,
2015-07-31,EW,skip_exit_no_price,,,,,,,
2015-07-31,SWKS,skip_sell_notional_below_fee_threshold,,,,,,1479.6751537466535,2300.0
2015-07-31,AXON,skip_buy_notional_below_fee_threshold,,,,,,360.54517575948194,2300.0
2016-01-29,AVGO,open_close_ratio_anomaly_exit_alert,0.7778860330581665,10.365437507629395,0.075046136015543,0.25,4.0,,
2016-01-29,AVGO,skip_exit_open_close_anomaly,0.7778860330581665,10.365437507629395,0.075046136015543,0.25,4.0,,
2016-01-29,AVGO,skip_exit_no_price,,,,,,,
2016-01-29,DXCM,open_close_ratio_anomaly_exit_alert,4.335000038146973,17.81999969482422,0.24326599957271966,0.25,4.0,,
2016-01-29,DXCM,skip_exit_open_close_anomaly,4.335000038146973,17.81999969482422,0.24326599957271966,0.25,4.0,,
2016-01-29,DXCM,skip_exit_no_price,,,,,,,
2016-01-29,MNST,open_close_ratio_anomaly_exit_alert,3.806936740875244,22.504976272583008,0.1691597758098104,0.25,4.0,,
2016-01-29,MNST,skip_exit_open_close_anomaly,3.806936740875244,22.504976272583008,0.1691597758098104,0.25,4.0,,
2016-01-29,MNST,skip_exit_no_price,,,,,,,
2016-01-29,PANW,open_close_ratio_anomaly_exit_alert,3.9619362354278564,24.914974212646484,0.1590182755805075,0.25,4.0,,
2016-01-29,PANW,skip_exit_open_close_anomaly,3.9619362354278564,24.914974212646484,0.1590182755805075,0.25,4.0,,
2016-01-29,PANW,skip_exit_no_price,,,,,,,
2016-01-29,FTNT,open_close_ratio_anomaly_exit_alert,1.2000000476837158,5.627999782562256,0.2132196329150163,0.25,4.0,,
2016-01-29,FTNT,skip_exit_open_close_anomaly,1.2000000476837158,5.627999782562256,0.2132196329150163,0.25,4.0,,
2016-01-29,FTNT,skip_exit_no_price,,,,,,,
2016-01-29,IBKR,open_close_ratio_anomaly_exit_alert,1.7071152925491333,7.517112731933594,0.22709720519383772,0.25,4.0,,
2016-01-29,IBKR,skip_exit_open_close_anomaly,1.7071152925491333,7.517112731933594,0.22709720519383772,0.25,4.0,,
2016-01-29,IBKR,skip_exit_no_price,,,,,,,
2016-07-29,AMZN,open_close_ratio_anomaly_exit_alert,1.9125001430511475,37.94050216674805,0.05040787638091168,0.25,4.0,,
2016-07-29,AMZN,skip_exit_open_close_anomaly,1.9125001430511475,37.94050216674805,0.05040787638091168,0.25,4.0,,
2016-07-29,AMZN,skip_exit_no_price,,,,,,,
2016-07-29,GOOGL,open_close_ratio_anomaly_exit_alert,1.9644767045974731,39.270286560058594,0.05002450648260668,0.25,4.0,,
2016-07-29,GOOGL,skip_exit_open_close_anomaly,1.9644767045974731,39.270286560058594,0.05002450648260668,0.25,4.0,,
2016-07-29,GOOGL,skip_exit_no_price,,,,,,,
2016-07-29,KDP,open_close_ratio_anomaly_exit_alert,1.6271039247512817,12.702387809753418,0.12809433542108706,0.25,4.0,,
2016-07-29,KDP,skip_exit_open_close_anomaly,1.6271039247512817,12.702387809753418,0.12809433542108706,0.25,4.0,,
2016-07-29,KDP,skip_exit_no_price,,,,,,,
2017-07-31,NBR,open_close_ratio_anomaly_exit_alert,15804.7802734375,346.6133117675781,45.59773019922388,0.25,4.0,,
2017-07-31,NBR,skip_exit_open_close_anomaly,15804.7802734375,346.6133117675781,45.59773019922388,0.25,4.0,,
2017-07-31,NBR,skip_exit_no_price,,,,,,,
2017-07-31,TPL,open_close_ratio_anomaly_exit_alert,3.264422655105591,32.81586837768555,0.09947695479316844,0.25,4.0,,
2017-07-31,TPL,skip_exit_open_close_anomaly,3.264422655105591,32.81586837768555,0.09947695479316844,0.25,4.0,,
2017-07-31,TPL,skip_exit_no_price,,,,,,,
2018-01-31,LRCX,open_close_ratio_anomaly_exit_alert,1.5363136529922485,17.09136390686035,0.08988830039336902,0.25,4.0,,
2018-01-31,LRCX,skip_exit_open_close_anomaly,1.5363136529922485,17.09136390686035,0.08988830039336902,0.25,4.0,,
2018-01-31,LRCX,skip_exit_no_price,,,,,,,
2018-01-31,NOW,open_close_ratio_anomaly_exit_alert,5.947199821472168,29.77400016784668,0.19974473661401482,0.25,4.0,,
2018-01-31,NOW,skip_exit_open_close_anomaly,5.947199821472168,29.77400016784668,0.19974473661401482,0.25,4.0,,
2018-01-31,NOW,skip_exit_no_price,,,,,,,
2018-01-31,TSLA,open_close_ratio_anomaly_exit_alert,1.5444860458374023,23.620643615722656,0.06538712792776498,0.25,4.0,,
2018-01-31,TSLA,skip_exit_open_close_anomaly,1.5444860458374023,23.620643615722656,0.06538712792776498,0.25,4.0,,
2018-01-31,TSLA,skip_exit_no_price,,,,,,,
2018-01-31,ALGN,skip_sell_notional_below_fee_threshold,,,,,,1662.1839987748335,2300.0
2018-01-31,IPGP,skip_sell_notional_below_fee_threshold,,,,,,2249.2908931833936,2300.0
