date,ticker,side,shares_delta,shares_after,price,notional,fee,exec_session
2015-01-30,AAL,BUY,268.1803449875614,268.1803449875614,46.50346755981445,12471.31597330891,28.6840267386105,CLOSE
2015-01-30,ALK,BUY,200.97927672430805,200.97927672430805,62.0527458190918,12471.3159734784,28.684026739000323,CLOSE
2015-01-30,AVGO,BUY,1582.5531615844502,1582.5531615844502,7.8805036544799805,12471.315973275106,28.684026738532747,CLOSE
2015-01-30,AXON,BUY,461.72957673528697,461.72957673528697,27.010000228881836,12471.315973301615,28.684026738593715,CLOSE
2015-01-30,BBWI,BUY,270.2023959204236,270.2023959204236,46.155460357666016,12471.31597345149,28.684026738938428,CLOSE
2015-01-30,CNC,BUY,456.992141995171,456.992141995171,27.290000915527344,12471.315973437018,28.684026738905146,CLOSE
2015-01-30,DAL,BUY,301.01298466642646,301.01298466642646,41.431156158447266,12471.315973435007,28.684026738900517,CLOSE
2015-01-30,DXCM,BUY,834.4808449598061,834.4808449598061,14.944999694824219,12471.315973260958,28.684026738500208,CLOSE
2015-01-30,EA,BUY,233.80779734700232,233.80779734700232,53.34003448486328,12471.31597331903,28.68402673863377,CLOSE
2015-01-30,ENPH,BUY,1006.5630046631511,1006.5630046631511,12.390000343322754,12471.315973352424,28.684026738710575,CLOSE
2015-01-30,EW,BUY,596.9523087222377,596.9523087222377,20.891645431518555,12471.315973351391,28.684026738708198,CLOSE
2015-01-30,KR,BUY,446.6906845771927,446.6906845771927,27.919355392456055,12471.315973210132,28.684026738383306,CLOSE
2015-01-30,LOW,BUY,224.76384150540315,224.76384150540315,55.48630905151367,12471.315973374236,28.684026738760746,CLOSE
2015-01-30,LUV,BUY,312.57290474030106,312.57290474030106,39.898902893066406,12471.315973236968,28.684026738445027,CLOSE
2015-01-30,MNST,BUY,639.8287806469759,639.8287806469759,19.49164581298828,12471.315973327026,28.684026738652157,CLOSE
2015-01-30,PANW,BUY,592.0403136907912,592.0403136907912,21.064977645874023,12471.315973352761,28.684026738711353,CLOSE
2015-01-30,RCL,BUY,188.39704385984788,188.39704385984788,66.19698333740234,12471.315973206209,28.684026738374282,CLOSE
2015-01-30,REGN,BUY,30.09764327059354,30.09764327059354,414.36187744140625,12471.315972164846,28.68402673597915,CLOSE
