date,cash,positions_value,equity,invested_weight_sum,turnover,trade_notional,fees,n_orders,did_rebalance
2015-01-02,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-05,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-06,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-07,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-08,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-09,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-12,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-13,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-14,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-15,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-16,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-20,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-21,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-22,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-23,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-26,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-27,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-28,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-29,250000.0,0.0,250000.0,0.0,0.0,0.0,0.0,0,0
2015-01-30,6.265281626838259e-10,249426.31946522935,249426.31946523,0.9999999999999974,0.9977052778609173,249426.31946522935,573.6805347700275,20,1
2015-02-02,6.265281626838259e-10,249674.39440026303,249674.39440026367,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-03,6.265281626838259e-10,249055.81305314932,249055.81305314996,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-04,6.265281626838259e-10,252765.7469516749,252765.74695167554,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-05,6.265281626838259e-10,254792.18104183933,254792.18104183997,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-06,6.265281626838259e-10,253219.71443136912,253219.71443136976,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-09,6.265281626838259e-10,248951.91464811674,248951.91464811738,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-10,6.265281626838259e-10,254060.62581056196,254060.6258105626,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-11,6.265281626838259e-10,254952.79157895286,254952.7915789535,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-12,6.265281626838259e-10,256168.18303666287,256168.1830366635,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-13,6.265281626838259e-10,256369.82618014346,256369.8261801441,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-17,6.265281626838259e-10,254958.49434837516,254958.4943483758,0.9999999999999974,0.0,0.0,0.0,0,0
2015-02-18,6.265281626838259e-10,257252.18775708321,257252.18775708386,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-19,6.265281626838259e-10,257812.71181113494,257812.71181113558,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-20,6.265281626838259e-10,260531.91763034227,260531.9176303429,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-23,6.265281626838259e-10,261745.91372817478,261745.91372817542,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-24,6.265281626838259e-10,262918.9228680358,262918.92286803643,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-25,6.265281626838259e-10,261787.9967625426,261787.99676254325,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-26,6.265281626838259e-10,260724.35505455395,260724.3550545546,0.9999999999999976,0.0,0.0,0.0,0,0
2015-02-27,6.230038707144558e-11,257006.48278882733,257006.4827888274,0.9999999999999998,0.47841503512459255,124500.52069488521,286.351197598236,11,1
2015-03-02,6.230038707144558e-11,259520.59821433522,259520.59821433527,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-03,6.230038707144558e-11,258132.8252237976,258132.82522379767,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-04,6.230038707144558e-11,257560.31759846833,257560.3175984684,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-05,6.230038707144558e-11,259548.5133981043,259548.51339810435,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-06,6.230038707144558e-11,255460.64728459652,255460.64728459658,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-09,6.230038707144558e-11,257200.63773301741,257200.63773301747,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-10,6.230038707144558e-11,254511.8893613122,254511.88936131226,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-11,6.230038707144558e-11,255890.94881913177,255890.94881913182,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-12,6.230038707144558e-11,260467.9043351945,260467.90433519456,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-13,6.230038707144558e-11,260122.35224724223,260122.3522472423,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-16,6.230038707144558e-11,265430.5391651491,265430.53916514915,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-17,6.230038707144558e-11,264233.14938166545,264233.1493816655,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-18,6.230038707144558e-11,265544.84394602553,265544.8439460256,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-19,6.230038707144558e-11,267934.84710703266,267934.8471070327,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-20,6.230038707144558e-11,267865.270471222,267865.27047122206,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-23,6.230038707144558e-11,266438.9532591401,266438.95325914014,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-24,6.230038707144558e-11,266690.1117792794,266690.1117792795,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-25,6.230038707144558e-11,259894.71333483554,259894.7133348356,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-26,6.230038707144558e-11,259578.35875959918,259578.35875959924,0.9999999999999998,0.0,0.0,0.0,0,0
2015-03-27,6.230038707144558e-11,264129.2812609615,264129.28126096155,0.9999999999999998,0.0,0.0,0.0,0,0
